"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632762559.26534","717476292.43707","760302230.599189","852639263.226546","954961338.661426","1059577307.79847","1199748840.55689","1304024064.3651","1362017025.4557","1471535164.8099","1538188506.91405","1591171076.55552","1817009854.22474","1780899098.75565","1699600361.0153","1946670684.46655","2234526113.85413","1920274304.53257","2353360763.23989","2194516015.42355","2585668012.67191","2411358838.91082","2274835962.0805","2290680021.83851","2412460160.44556","2473122221.96532","2542890611.38155","2481324143.01127","2469661605.77886","2490319227.56851","","",
"Afghanistan","AFG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12652732366.2345","14872471841.9848","16077117862.1267","19583319575.6253","21249369830.015","21141552523.4793","20583384002.9751","20007171970.8706","20091447897.1673","20316592975.0527","",
"Angola","AGO","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","5909142950.14388","6967475842.39664","7106916245.93949","7208189321.56461","9791908191.86865","9208683040.41152","11055239120.8019","4204362170.68529","3769324229.12095","2453448143.24748","5114858307.35252","5181572717.22081","6626516969.21897","6315864350.56952","5275183156.11899","5902876836.25326","6690069078.48489","10317784125.6645","12827032872.0031","19001401454.2493","26682963583.21","36533201173.644","51492997442.4233","65659539400.85","71273450786.3096","75763529024.2885","82745466676.309","104804632353.112","124418737745.665","134935106936.666","125915235124.117","108726746876.5","106188912082.199","103839890559.318","",
"Albania","ALB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","2114290475.94353","2250946648.84473","2308259449.58612","2445669340.53684","2144674610.30695","1340594874.79075","906184212.294099","1024263065.23594","1216680690.37683","2035220171.98039","2824014635.49746","2532910513.83289","2701345367.82359","2956412176.31343","3408708296.46354","3927923955.74368","4193153284.64778","5024895333.53469","6366854113.56868","7899213432.20734","9131239744.27605","10273336546.4704","11883464767.7304","12528132804.3822","12708658830.5093","12803761487.2397","12659070503.5345","13156915672.5663","13116601156.526","12634984279.8621","12421351409.9504","12335104551.8195","13933199599.7948","",
"Andorra","AND","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518786168797.174","544706514133.852","581522284721.375","611883647405.42","625523123085.852","631386605007.953","679909188701.109","720398374968.068","730408913335.627","809576530335.942","947504160824.767","1107287964328.36","1300327819318.67","1532301092233.3","1843396192030.39","1910400916263.48","2051608151169.22","2198361236344.16","2600129197780.97","2828146214836.38","2926554604332.47","2805819807760.53","2688708872514.51","2549703803370.16","2672906114477.03","",
"United Arab Emirates","ARE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98424973047.7352","105599045558.086","107622937088.949","121688462672.802","147125913781.565","172049311177.687","208706760113.386","244207313020.983","282949571000.644","277083140714.063","285540812243.736","313384146047.084","358578323264.81","394073667471.698","408498689476.707","397053277791.69","379778722976.248","365697740948.039","393687216384.538","",
"Argentina","ARG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","24436915654.103","27307536017.2301","30359663534.4139","28316034885.8704","28110535227.8209","30585419212.241","31582382532.011","35775760791.007","36156762383.0369","45649404115.3341","62985567014.5745","70261202934.7401","61903678901.7335","59112910817.3592","59256732622.5587","72112302460.3745","81313009206.645","79780400776.3327","76943271518.4499","83947790179.624","84067984525.5595","81711398394.0999","92716101175.1247","111879826532.584","125261891812.971","94313119785.3069","103923582583.802","127810746338.002","203570469410.014","241814720362.144","262188226196.828","256347178436.284","272663359670.34","290495337988.436","289536836748.235","276294736658.033","275544288842.814","260811643580.081","152402040124.724","139193101197.153","129809211585.293","165719405446.532","215445097642.32","258429317135.467","307363845739.273","315586430025.773","378241273935.818","442037545215.98","496046283909.912","543285805981.272","526784533342.356","543279945585.475","532589675300.734","577966910660.886","551170581779.708","",
"Armenia","ARM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063409718.21369","1102754533.33972","1314498864.82133","1466393965.5891","1641685571.51573","1747584372.69148","1825628017.53533","1893112767.29674","2025189580.93588","2172390024.71602","2441392029.21772","2894719583.61319","3506971033.30882","4581813196.99296","5963511730.53402","8096070934.94897","10463239023.9263","9630072525.31277","9986732751.53193","10160338283.9051","11192555416.8125","11911914235.7158","12047457849.9418","11738591724.1292","11045765175.9852","11623145819.3556","12474731643.2005","",
"American Samoa","ASM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
