"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.402708375540449","0.487310908361836","0.386179962701183","0.324924830973702","0.601515386639221","1.58336454190378","1.93696502901412","3.32630258056776","4.66984970692656","4.91445884503577","","",
"Angola","AGO","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.40329262642225","8.14225193354984","10.6810543679173","6.14999077755878","5.12158487871156","8.14934014088936","12.1395411261031","18.4285806878618","19.2277310187677","41.4158731120765","27.0481920485971","20.9294376480718","33.1233201608334","16.9555400041441","15.3126627744484","13.6295012767287","10.7533999184629","13.2227389393688","9.90551236013533","2.52240228827405","9.67547712292334","5.73389691395345","5.79433239521742","8.37409198844074","9.64484814126084","14.0949734081366","22.6935364009461","33.611868685748","25.617272315396","21.9368143717531","",
"Albania","ALB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.29887168674699","2.17526038751346","3.17620015741834","6.63578141560799","2.772776816609","4.65987367498905","15.0161974748103","9.59910407706093","5.3943900631579","4.47813553102625","4.82424572925551","7.45695463854314","5.50007333236054","5.23065989927423","6.21720626367437","8.22991529452008","6.17009814363454","6.7349237603014","7.10226690285583","10.2765369609378","11.8322138413534","14.2387446748331","13.5956953725021","17.5853145944939","33.4981264135796","15.1540718445566","11.1293606977142","20.7054623853471","",
"Andorra","AND","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","34.9000521296099","27.7785756871475","42.5362952246044","23.0106973598225","38.0376645349045","45.8449715332486","50.1737940369041","69.8969149006555","63.6145739792108","60.3268647090716","83.1337160886777","74.53339165596","44.5025369832747","36.4296624323202","37.1369717401225","33.7793151921646","27.6728453974767","31.111797850622","25.2915464677409","30.3130677188758","39.4412588849976","44.1745242902654","51.8036326705337","74.2848592212609","64.2823867302192","49.5813145440098","16.5973754896215","38.2912710004567","29.6758736713401","19.7246312637172","31.5113305616053","12.1114711135311","11.000620925218","21.1725855859086","18.6426233354966","15.6550627866212","14.0601320892901","17.144794973003","20.1693205373148","24.7331480336895","34.9080047911102","51.5868149271809","45.0412274988796","",
"Armenia","ARM","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15348849945235","1.93877045672867","3.15209367385766","9.53574124845219","5.05529476771251","13.2804008315777","13.1730489261958","8.66941155049342","8.41084805331266","9.34720789387768","10.8245440530296","11.4108499984776","7.31949641201404","6.7329552908316","6.66834101867827","11.9873180212173","17.4053324506715","29.7387367053874","24.5841466412015","29.1536221721607","46.3736358587108","31.6988365600421","38.4268565728872","33.8582345403612","27.1264360825667","29.9302568037772","",
"American Samoa","ASM","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
