"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","979344507.8","2023034713.1","2143951791.1","2480214113.7","2435623906","2627714623.1","2729151877.8","2586976889.5","2612976572.3","2636960122.3","2596711667.7","2716954638.9","2605357557.8","",
"Angola","AGO","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7288778066.3","8591895991.1","9000344458.8","10059207810.7","10571384637.8","11292755787.9","11502043062.1","10545818707.6","9948274153","10784076259.7","10673241870.4","9763465564.4","8776917205","9109536718.7","9099850424.4","9786029392.2","12223970246.7","9890493322.8","11931686534.7","15501571033.1","20172422589.1","26599588910.9","33964864294.9","44259094238.7","54946498464.9","56935502893.1","56272310711.7","57167386215.4","52617590365.4","54563366500.6","",
"Albania","ALB","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","511485756.3","632621789.2","786033591.2","883115193.8","458862737.5","491994448.6","516476961.3","623592791.8","773092900.6","1122377828.8","1154928425.8","1181531102.8","1552156219.9","1606135184.3","2128651197.3","2520336701.6","2970737964.5","4261295383.1","4610220147.8","5441264130","6488737179","7389133040","9067987702.8","8640499747.1","8657265164.2","8741215302.5","10062185201.9","10121923558.7","",
"Andorra","AND","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","5893191433.6","6353903964.5","6893803268.3","7374621350.5","7798525658.1","7901576052.9","9501611014.5","11675739426.3","13507657037.8","21176835027.4","27322463712.9","35809463187.8","43787004262.2","46108319454.6","49060805832.6","51156733946","52688148843.8","58722673496.6","59015245403.5","65538413075.1","62477601311.9","65672366930.1","68605638952.4","64681387080.3","75094061335.7","98773122012.7","111145506414","128251441841.7","141504501057.7","151913800711.3","150062928187.3","152649929432.5","148320192549.3","163442688409.3","167999635827.3","130788488210.2","118921233033.8","120818039247.5","129752184881.3","133695121247.7","126642436908.2","142884643038.3","139755161212.5","149693534483","153182419313.4","176574971030.3","188757585369.4","236470523837.9","280515652318.5","",
"Armenia","ARM","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133922025.2","214328549.4","370656928","520544050.4","638485619.5","804242112.9","1022596079.8","1018418173.9","1410424531.1","1719549290.3","1996130970.2","2107914571.2","1969824792.5","2138883502.7","3081934925.4","3612490093","4934959249.6","6307170668.6","7410792665.3","7640566738.7","8681090933.1","8555658357.8","8931020971.7","9955623313.1","10328628738.5","11018780268.9","",
"American Samoa","ASM","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
