"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2569832.325","2625698.328","3351955.414","3910614.491","1340782.12290503","1620111.73184357","1843575.41899441","1620111.73184358","608938.547486034","1083798.88268156","1335195.53072626","1329608.93854749","273743.016759777","1458100.55865922","819846.096273242","1036166.00246323","5195530.72625699","6759776.53631285","9050279.32960894","4972067.03910614","5307262.5698324","4860335.19553072","6337950.83798883","7465211.17318436","8083713.40782122","52682566.1467022","56140340.1581912","37362837.993935","33845632.8486256",
"Afghanistan","AFG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89540435.95","140695166.3","378206657.0181","179116561.3764","219416087.481463","347165291.814146","253367821.603343","348624717.302647","627710802.377386","1084019406.79695","803546453.786557","867562384.585069",
"Angola","AGO","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5142000","","","","","","","","","","","","82084000","162358.5","17972037","204751.1","40348853.9894801","36637411.3401682","30971119.270778","11114711.6","3988048.38","1418195.84","1579247.15","1579247.125",
"Albania","ALB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151800000","332000000","307100000","427300000","550900000","300300000","504140000","407200000","597800000","699300000","733570000","888748582.309638","1160672105.01954","1289704315.92613","1359467324.66364","1468020000","1865581563.70359","1717698012.16515","1586574271.35642","1552078514.34037","1419772515.43028","1281848113.75308","1421007454.36595","1290863508.09401","1306009166.92504","1311822432.138","1458210055.85312","1472812241.61039",
"Andorra","AND","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","211000000","238000000","247719978.33","269739208.22","276823417.66","966117778.4155","1355695710.451","2637034422.268","4405529374.2231","5563872498.035","6403246145.362","5907729369.142","5862270293.564","7173076350.713","7371483942.2029","6449093710.8198","6277412014.418","7601042249.332","7479027555.62","6950298994.67","9699913088.511","9774454435.2","12849686881.67","11791714150.847","10391224182.095","10655741100.1554","10697809478.2324","11492129404.3258","11922113928.7621","11621826045.419","11476946812.593","12851715141.7269","15829429504.1508","20315498457.1518","23393335357.452","22640992844.8193","24459749069.3236","29515131560.3516","33884270767.9805","31754690364.7879","37780646734.5291","40567403412.4978","47556155066.8183","48976883438.5148","54744688338.6065","50959009907.6455","50279023827.4639","56842435020.8623","57733527042.6898","59375456057.2405",
"United Arab Emirates","ARE","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","26000000","42000000","56000000","42000000","28000000","28000000","32000000","27000000","32000000","34000000","30280000.69","26559999.47","22840000.15","19120000.84","15399999.62","57700000.76","62400001.53","63600000","65000000","65700000","68500000","64300000","86343658.5898822","189600000","206630000","273420000","311780000","432090000","540635441.916292","606498926.517186","705144403.358363","628542376.088907","644300740.057192","697379575.129916","577532962.100773","535004409.367289","505346891.730357","494433532.139966","391579047.663514","479937458.342983","515857737.177991","535151226.882674",
"Armenia","ARM","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71350000","153730000","228986400","166647970","182652132","182160000","209240000","263890000","335860000","787519510.008093","915231161.780943","1169173062.59984","1644375090.62217","1904067122.6008","1439809231.68406","1669336819.11366","1798624692.26173","1914983996.61627","2192193826.94676","2078618314.80089","1491475903.47047","1382330886.59828","1538655751.77642","1488016543.51782","1527862996.60778",
"American Samoa","ASM","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
