"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7918319752562","20.489285591418","20.9502659950428","19.9958940001044","15.3333312078379","14.7750027931415","13.623103982865","12.5381821806992","12.75711580017","13.1276472503731","13.3446755861582","13.3899001927697","13.3710182381595","",
"Angola","AGO","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.6934132478989","85.689842684571","84.8786055943759","287.568152746417","326.524497253351","581.118594659053","241.057580028413","180.898830674219","147.806175293937","194.747625685065","223.247874658842","131.075488741924","119.007813439182","66.7319448796883","56.5692142356701","46.4596886931176","37.109774803982","21.4065385906825","20.6905154257786","20.7181890376206","31.7755884290557","35.1322990231369","33.2687604169059","37.6253324328915","43.3298497826035","41.6005753206198","51.0239329334166","59.6336017046331","44.445771459239","53.9982631116899","",
"Albania","ALB","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4538639208255","101.481313674146","66.9925024779222","46.825979666069","18.833908913622","15.0427317418612","22.3751150365389","23.7767474655657","23.5133184467791","31.2889939156008","28.5241923424335","26.5103090591447","26.9102928169484","21.8312781853545","25.9110655270624","27.5204909557826","27.0697226122024","32.9149659664926","38.8958240505276","46.0819555177538","50.3228903929085","60.4278984470584","69.7728631934216","64.7246325669321","75.133633936988","72.5172020148533","77.0615011273202","67.2442978720867","",
"Andorra","AND","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","19.3878463641955","18.8909751518718","20.1576140700061","13.9876910704174","10.7299634680028","14.8670877223739","18.5632714483671","20.7240052366939","23.4034688444464","30.858252073302","35.8155600379831","46.6013548308641","55.2560428399715","47.0146805803112","65.4171972580427","61.1392424675637","49.7423000926157","55.4286288043483","48.8877119087842","93.3336865626537","46.2283306008647","35.7191930020236","30.5551426163691","27.6719318453773","29.5945044681267","38.9848417579252","41.6825294657416","44.742849204167","48.5365413234134","55.0294127610094","54.2417099417586","58.4932935172091","159.890183546743","133.474955613907","114.783966038451","74.2469415660219","52.8779757006235","43.1501917496034","36.7970755463574","41.4244681389672","30.9493567310993","27.7440763480508","26.2168599209833","27.7114927377517","29.7134508897099","30.2553625677679","34.6129165728217","37.7565046412435","56.1328407921298","",
"Armenia","ARM","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1462676852313","16.3034067559711","25.2755457911796","31.7083070636767","36.7348485357285","41.1560939744398","53.8088899271065","51.8420468546225","64.611733846805","69.7716256584849","68.7952240608304","57.2175683888445","38.5750305478491","31.9881907373026","31.7603366340926","29.243068173332","54.7919797769223","64.8981604143554","70.5642941685017","69.1932644865533","73.5435577947418","70.413153961293","81.218993506252","92.4354456955744","86.1380618534954","87.4837841793204","",
"American Samoa","ASM","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.894888023226438","3.40702772012096","10.5625375842952","14.0729805967844","12.8517169395157","15.9391327023754","28.4166153639024","31.7842661990328","28.2106213651877","28.9115856408435","28.4037392709299","27.183837999041","19.3721660324014","15.2884532146538","13.9604774910363","10.2592929929848","11.1067564718419","14.5936486930579","12.5223078954917","16.4777755440881","15.0094108856066","16.557048247695","26.3491372556908","41.7272640600984","39.5531389475824","36.4482857592214","",
