"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9457830050981","24.8460607336456","24.3193371696971","27.0733728565054","20.6452407898022","23.7302742225986","19.3279022403259","12.016690647482","14.4618573797678","17.0965154173978","-2.04170204831031","13.1633051072464","2.41615039521471","13.7321937321937","10.8964900514196","3.54989483524188","-1.69807186678352","1.88891337888472","1.36614282622809","6.48144478178368","8.26010931921959","9.76029507628338","8.24277674446738","","",
"Afghanistan","AFG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0598319522674","3.27332583962269","2.19115049384942","13.376861210196","22.6347626559104","15.4598056285534","18.0286863311172","14.4942330473864","18.0642771092225","","",
"Angola","AGO","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.207877246423","14.4802221618501","28.8768162146426","26.055460637047","33.5359981811409","41.1876533187137","43.4545834611134","41.4989704192505","38.6588583240985","27.6578678923736","36.9873433164283","37.8885498866507","37.2329993870824","32.0298819474387","29.9667207268001","25.021326466362","24.4433078825951","26.4372051275059","","",
"Albania","ALB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.8112263051868","28.4100004335346","28.2425665773267","26.0607555881552","23.7252668969749","26.8282680674096","18.7777579223622","-10.9519889602208","-11.9935808855625","11.2082081228168","3.10983687998729","16.3575110147134","16.1362176232484","5.57342942973324","17.3594361218746","14.8935500743428","25.9409694740207","29.5046071177256","25.9386224535736","26.6389918959509","29.4726157304384","30.2558901841009","29.0779694105667","23.9481677170007","17.6516169176863","17.2852193584214","19.96301623738","20.5436489385709","19.6308466100413","17.7410830356408","15.9371449914112","16.8570442154037","17.0532122737348","16.4417695241128","16.1899950415355","",
"Andorra","AND","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8963806276582","42.1930611704835","42.2957843126589","45.6516064014082","31.5349116505441","36.1957340312545","40.8650685394178","39.1861741662322","35.1721618139515","32.9570298700305","24.3763947383697","23.8730041031159","26.5048049488643","28.1328534201064","",
"United Arab Emirates","ARE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","34.0487067278848","32.5077111151898","30.1794054818106","25.216096734904","22.9884302050287","19.8802568653945","18.3585987862388","18.5376271806435","17.6222626813704","","14.7833054557019","15.1979016214147","","13.6301814012069","16.0433766574382","13.5618560304189","13.6516281676646","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.4172295393985","22.2314441717013","21.1268023980529","18.3213663126459","17.3318557921569","17.3332155649683","16.2099451316674","15.1944663729121","15.909027608976","14.3058273001867","14.6380132881613","13.5275901884763","15.4892981287266","",
"Armenia","ARM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.550169547809","2.83386565485342","-4.94770443939356","1.78544008109717","3.99921613687557","0.839851465064755","2.83317264786524","2.78443787452601","9.36988803036531","14.2886788736185","19.905297577635","22.0414654073835","27.3924687759214","31.4790334243698","31.5516265461426","30.7938255091971","17.1707524961379","16.4332856786679","14.5787909129264","12.8123338818756","14.4546794782012","13.2812575087811","18.2342217178567","16.8218132318745","16.9093649482446","13.6124130417223","",
"American Samoa","ASM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5869000995031","24.3172317750298","20.7088628580912","18.2092123876687","20.1985472258446","21.744573147515","20.6758633752225","20.9526522984081","21.8674219238275","21.667345665209","20.6842473658235","21.2419059535925","20.8255372723396","21.8456904545298","21.1359845940324","21.5897676031341","21.0405424769714","21.8275889361721","21.4464309275485","21.9927218977088","24.0112959310845","21.7966724205563","23.3008316834885","24.3083626038461","23.9911373796436","23.5936397979751","22.6402075025806","20.6651715002133","21.8705047434585","21.7382654166124","",
"Austria","AUT","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0564137841862","26.7350904004832","28.1886245635904","28.6971226508836","24.8357557511612","25.8239023334529","26.0932641288984","25.7751751423172","25.4838180823277","25.9848707621721","25.6529443110837","27.0556878892732","26.6705831301217","27.6384455057413","",
"Azerbaijan","AZE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.23714915894713","2.01151792432114","13.8125356995852","5.97997799060592","9.41461675452305","15.4623762605339","19.767651555798","19.6555591818557","23.4132794346883","25.3881222233945","38.6858202707127","44.2801855544057","44.6101580321221","49.439823206402","39.8041013148323","44.1651460113034","46.2660496277025","43.8078024101403","42.1672807663882","40.181960091063","27.4990142110809","22.081306691579","28.5007782068816","32.9664751394786","",
"Burundi","BDI","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.263661452535","8.63455617300307","14.1953662628949","8.56435892711432","14.3924917485707","8.70394136029835","11.6815140438223","5.14371048637291","12.1115764697723","5.41727512480078","6.01727840108639","3.73755729739957","6.04074612248643","0.665302857107377","2.41802868214963","1.32796784952459","1.48988364734218","4.20017398723749","6.75563090813406","6.58731771530623","15.3535760974519","8.00943548860952","7.33647074802909","-1.50446287828128","9.85337786750853","3.21616089061871","1.95368778012853","10.8816150892978","3.93388814646655","0.617073291172706","11.2235230176878","5.87736309399765","6.07269043884232","4.35572331964251","",
"Belgium","BEL","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3637538782916","26.219796079491","27.1911194965346","27.3162066854377","27.8466578004796","28.7778688407477","27.4207464295817","24.9976133046784","25.3503039621962","23.4992463461915","24.7316659912888","24.233698067482","24.5751573291071","25.0080939418707","24.7463724829682","25.3378072256475","24.498414409063","",
"Benin","BEN","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","11.1018916506305","10.1493346314316","11.215815138723","13.6151012929892","10.5040564325719","12.6413848767821","4.17243288354407","-3.2515576185361","13.2215475129539","8.19251549807578","7.51661402140556","2.63422420507192","4.13737395255719","4.35786381362685","0.770432280531513","4.51420464564828","9.68837395690807","10.7565411618978","9.57520641648833","9.68531376997262","14.5061015214504","15.8971112473207","15.2438911447474","16.1878513351162","15.7985753887415","12.4576080460941","12.6917530545636","13.2828101812978","13.631081215314","11.3691858558021","13.2595820783173","12.1919257988501","12.4681375614016","14.0495425703938","12.6519054179441","11.4615331029404","11.3872625454178","12.1256489307622","13.5331676032756","16.2831558507375","18.6021787812955","13.8620285706543","17.4022879597555","17.3991544745476","19.7171458499209","",
"Burkina Faso","BFA","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.970175979915","10.4963828154497","13.6233874487734","13.6837809210665","15.7021827040762","19.3890564666174","21.2214715337735","23.3212558583106","19.510858581795","17.8096873600325","15.2598923863408","16.6883577536652","19.0618766665973","20.9460627598859","",
