"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23070","24800","25400","26090","27270","27390","27210","28780","29410","28980","31620","30140","27760","29550","31950","27060","33630","31230","35670","32360","30710","31000","32040","32640","33560","32320","31640","31820","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1520","1710","1700","1920","2020","2070","2110","2140","2210","2240","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2690","1060","1060","830","1860","1870","2240","2220","2040","2180","2270","3370","3450","3760","4290","4710","5320","5560","5820","5950","6130","6820","7140","7680","6970","6740","7090","6780","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2110","1550","1430","1750","1910","2250","3050","2780","3110","3550","3980","4460","4800","5150","5560","5990","6750","7480","8260","8680","9540","10210","10450","10750","11360","11800","12270","13130","13820","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7467.34170890961","7554.36421554386","7964.48805669694","8199.58428612603","8302.97443103024","8449.9418494497","8709.87857734759","9019.81876440483","9545.58416470359","9610.43617200884","10056.7068320915","10257.7545179396","10141.702584577","10584.7121573281","11625.2692865509","12374.778055942","13299.4543707272","14038.2592788265","14752.8036292053","14522.4352880081","14910.6352815973","15360.882168079","16282.3374615359","16113.6458746311","16111.8983042091","14457.6857596034","13890.5452297257","14529.5527316367","14900.563391141","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103160","101460","96350","99190","102360","99230","97720","89930","80690","68870","64860","67710","68670","69870","73650","64640","63670","66290","67870","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6880","7760","8560","9410","10030","9790","10370","11260","11650","11280","11310","10900","9540","10580","10860","12030","14460","16140","16970","15830","17450","18770","19230","19700","19230","19650","19710","22960","22470","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2670","2560","1300","1360","1630","1820","2050","2240","2390","2510","2730","3090","3590","4180","4760","5690","6720","7960","8800","7530","7880","8310","10120","11620","10490","12490","13160","12540","13190","",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10170","10970","11250","12090","12860","12270","13110","13890","14460","14890","16010","15680","15540","16670","17800","19420","22230","24560","24510","21440","20110","19720","18960","18180","18070","17880","18410","18920","20520","",
"Australia","AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16720","17060","17470","18600","19600","20160","21180","22150","23410","24470","25560","26590","27940","28890","30410","31360","32950","34920","35930","38890","37770","40280","41520","44760","45650","45330","46230","47580","49440","",
"Austria","AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19530","20560","21310","21750","22640","23560","24500","25300","26510","27170","29130","29310","31000","32030","33700","34940","37700","39350","41660","40940","42390","44600","46500","48050","48860","49390","52630","54150","56720","",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3280","2650","2350","2400","2560","2820","3030","3220","3590","3970","4430","4820","6000","8190","10120","11780","13120","13950","13710","14300","15320","16850","15020","14920","13510","13780","",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490","530","530","500","480","450","410","410","430","430","540","530","550","530","550","560","590","610","630","640","660","680","690","740","780","840","800","770","780","",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18710","19700","20370","20780","22010","22900","23230","24300","24960","26030","28510","29340","30810","31490","32480","33590","35720","37260","38800","38490","40480","41010","43270","44750","45870","46870","49090","51320","52590","",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220","1280","1270","1360","1370","1440","1490","1560","1610","1670","1750","1830","1880","1920","2000","2050","2130","2250","2350","2350","2350","2410","2490","2660","2820","2860","2980","3010","3200","",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520","570","570","590","590","620","690","720","760","810","810","860","890","950","990","1080","1150","1210","1280","1290","1300","1360","1410","1470","1460","1460","1550","1730","1890","",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","790","840","880","920","970","1150","1200","1250","1300","1370","1450","1510","1590","1690","1830","2010","2200","2380","2490","2640","2830","3190","3400","3590","3790","4070","4340","4760","",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6900","6430","6750","6850","7140","7510","6560","5510","6020","5690","6220","6920","7890","8480","9230","10240","11030","11870","13720","13890","14630","15180","15990","16200","17380","17820","19760","21460","22650","",
