"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1433925367.10094","1602478854.066","1733343635.56158","1891724147.53049","2091589538.22764","2199960870.98571","2263581627.96224","2459334206.59171","2566892343.83616","2579535360.68464","2872847338.94668","2799573356.09325","2637127952.38731","2867204457.52894","3154765196.71274","2706594374.20289","3391212901.82748","3161477188.34587","3615027495.29055","3283103918.15363","3122230322.67619","3163613120.68282","3286025568.30268","3366924862.03878","3482976571.17179","3372647393.87941","3317810258.23462","3352879768.79204","","",
"Afghanistan","AFG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43028339583.7286","50011958153.9904","51128371916.5965","59761402459.0031","65266760640.6549","69050351498.4528","72481060922.3578","75704296775.3667","80338590116.2168","83258756819.3422","",
"Angola","AGO","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28221774134.5154","32997782726.2248","13380785485.388","13879052780.8909","11207120522.5604","25889888780.51","26914603963.1299","33368753919.1449","34166953145.9876","32333309158.372","35770311578.6092","38532541770.9339","58964848368.9601","62549372694.9079","70579115682.0761","83400201852.1807","94887564243.7032","111277558142.625","120613881859.437","130973267706.066","139021737568.775","148439198180.964","171254731997.202","185644350030.78","206975718150.387","194234540498.407","194278040160.287","211315493176.86","208811611890.126","",
"Albania","ALB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6933100203.50308","5063389495.55547","4639445755.59198","5656634926.77502","6127770015.56451","7174944277.25124","9650524954.92745","8743694566.83861","9737463912.39844","11044896779.3775","12295334930.5488","13662120826.7433","14638826004.5674","15646869714.3451","16815628543.5549","18045163577.5731","20207424676.0897","22210966633.0729","24354728656.8806","25412644264.4265","27785805622.6635","29662566282.7677","30304663037.5432","31131777665.656","32829964186.5321","33990732673.3413","35302078531.7825","37722374845.247","39612746974.6105","",
"Andorra","AND","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1662628818832.31","1727922456125.05","1855378083235.69","1961695283457.15","2037960167038.48","2138741873721.86","2255866852047.31","2388648140553.14","2582804100468.76","2656265328825.11","2839452382532.89","2958666323132.33","2988406668299.35","3187203418250.15","3578988453198.15","3897631783588.76","4288445688538.34","4636706708597.25","4992289161549.23","5033900416382.74","5291635981332.74","5578438045095.41","6047969180163.88","6118443492538.18","6249930187190.79","5725652395240.84","5612119660500.79","5984707732074.09","6255116267498.37","",
"United Arab Emirates","ARE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323322696221.062","335107906366.934","335185283543.405","368204626489.547","416456364855.637","455293178483.236","517928620572.751","554759716006.904","572067250142.766","545263477685.039","554578548603.043","605808769081.988","627752836998.763","642658695686.264","678586111385.387","598748981283.634","596058742322.23","628909976457.234","653689900188.832","",
"Argentina","ARG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224414841203.5","256629700009.297","286904692004.839","319732323861.768","345024890693.624","340940248358.977","365578607766.636","401629946333.355","420261372131.928","411240751328.442","417017016998.147","406454882825.579","359568619954.016","403024962197.457","417925482267.068","467759982214.623","568102568447.163","640334043085.039","680304887309.351","640955229117.675","711614945480.867","774475577247.848","802509170557.223","831559126771.596","820561816750.848","847332262270.633","859265385585.576","1011354855304","999570543746.213","",
"Armenia","ARM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9462445030.62132","8957527132.81748","4460274962.71235","4574096728.2787","5362814414.29784","5848047223.17411","6489053839.41496","7033490334.78521","7428538052.45939","7768443545.29965","8393567548.80547","9422574713.02646","10904123152.2877","12623885557.9236","14270491186.2629","16950624084.04","19868378523.2476","23356217449.9819","25580128218.0251","21756361194.234","22666908437.6123","23905121405.6956","29196938144.7346","33681788841.822","30546347382.3879","36528866625.983","38626652630.6523","36937299297.0535","38944309505.1845","",
"American Samoa","ASM","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","635820336.894537","695328758.866076","725138168.155168","795272814.740444","864490883.851404","842842505.142117","919909997.963072","996050511.533865","1058897519.71399","1112069100.45955","1217115229.2722","1210511861.26921","1216713026.6122","1322214773.35562","1429982539.02744","1582114255.11667","1838859693.47553","2063612215.07978","2093309042.37265","1859954533.20297","1770640004.07869","1760071676.80133","1713742607.39865","1664118344.31739","1672303096.11074","1673157810.67429","1740494884.85021","1805710270.86936","1975849824.94856","",
"Australia","AUS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285327585562.901","294879638920.469","305551457082.463","328554581979.24","349910141482.965","364291441698.156","387816035719.266","410215854396.898","438017736575.477","463202128069.702","489520624813.209","516165308478.963","549012712403.385","574857353021.546","612002674935.358","639679592265.961","682096652760.495","727224136964.806","763437639656.731","843557963001.247","832245554168.474","899875053935.933","943990546160.514","1035222299693.94","1071746498596.55","1079583930033.6","1118334918553.7","1170453615167.99","1235210799693.42","",
"Austria","AUT","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149910581670.748","159469092536.357","167055101302.963","171965109813.408","179636790238.527","187282662269.435","195018658650.912","201595483238.143","211483656468.87","217144060110.011","233385834582.488","235712900139.037","250522395607.009","260116247290.919","275368283316.74","287476798281.967","311765805754.051","326427226000.799","346680570770.484","341573577563.707","354517435256.432","374289188740.567","392030460346.489","407466618825.439","417609480255.935","426846890617.193","459804635718.974","476401858847.048","501391213443.661","",
"Azerbaijan","AZE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24552345880.416","20117629240.6351","18085261799.2692","18631172640.0033","20080343856.5542","22323681711.4759","24155231955.4756","25945513009.5634","29117438061.3643","32461339751.3693","36476072965.0557","40054468927.1412","50348201961.3174","69470177011.2734","86839747098.6746","103214559007.322","117359459787.608","126293927378.347","125796646904.165","132950853517.384","144302482337.293","160621505420.778","144902368108.253","145622405879.321","133161462622.12","136981821074.384","",
"Burundi","BDI","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2689146821.49747","2929414314.93618","3017332830.78283","2902400601.49998","2845535814.73372","2674819373.59763","2496758972.0646","2507446750.70631","2665696342.97935","2664164449.01635","3417413481.01147","3457302261.58827","3658729575.30679","3657760764.51363","3909506770.43672","4126198847.68812","4521888837.8659","4816030666.91283","5157105457.38349","5357360329.22675","5721809553.46122","6061708967.24937","6380960957.85971","7082690915.78209","7631432783.24228","8544318758.92774","8357561001.33817","8362807306.07259","8735142928.3698","",
"Belgium","BEL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186516902735.542","197104204856.016","204631401529.265","209506363294.182","222595582370.561","232106359768.618","235959469435.28","247420168076.284","254669806127.935","266229271979.969","292276530740.395","301798939308.354","318307798007.558","326734665722.615","338466279472.564","352001708926.337","376805872104.647","395958458302.032","415597849908.875","415541297928.157","441038357059.041","452655752838.946","480620383220.801","499349513623.745","514186705056.397","528391165614.716","556214648760.066","583765893496.912","601270822533.096","",
"Benin","BEN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6076748309.77286","6576709916.1994","6783924284.83902","7488242657.56008","7855937990.56733","8519329842.93093","9058842190.23969","9806556829.03166","10390106959.4792","11126529690.8802","12039933514.299","12953894834.0906","13731587220.6","14462457150.2043","15527659080.1207","16339425050.7319","17469806798.1607","18981657972.5593","20396010410.2284","20980955406.4863","21626033958.7697","22827277379.615","24214851567.3901","26602697370.7523","29026492781.3476","30286590371.1014","32393872065.3048","33647417490.4049","36807560719.8431","",
"Burkina Faso","BFA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4612129495.25166","5197588953.1582","5325051760.32191","5627059785.76758","5812904641.3794","6294954293.77227","7165497197.81862","7721954153.55463","8378668259.83507","9122107422.77703","9415842645.82672","10273965736.5258","10921750459.9106","11989762099.6044","12860732891.0794","14447426184.1396","15868732406.8843","17178536015.0092","18789835403.2005","19483358161.0259","20289569154.5613","21844453371.8029","23439267793.2206","25140679605.5502","25701955561.4566","26463430744.9149","28935489103.1029","33239519150.8937","37372210558.3988","",
"Bangladesh","BGD","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78312554566.1558","83884024956.9274","90724061511.6605","97528621224.2638","103894125448.082","111421641312.419","134975267592.326","143788621086.622","152972470228.134","162745271015.275","175498887965.454","188070169582.154","200208777958.829","213675132590.599","231579935778.308","254658309092.687","283108869793.188","313518446629.289","342916400364.922","363743172757.143","389103719400.951","422196099681.024","481144293737.573","518851780656.341","555037012329.747","591621468742.889","643114065997.99","692953262569.39","767585094798.94","",
"Bulgaria","BGR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60130015296.1393","55540286321.8657","57665054102.9161","58075176140.2312","60267376841.9263","63094635249.4143","54823295288.7014","45833782524.8855","49744569859.8099","46705929086.0689","50839176469.2646","55433233302.3706","61831048683.3466","65934777431.8644","71228452299.1772","78428444504.1994","83836021732.014","89542757954.4707","102780080302.217","103415882711.363","108226571050.628","111573007433.335","116829065536.802","117730333020.896","125570887505.141","127919406194.879","140814168793.997","151847559972.902","159112124919.56","",
"Bahrain","BHR","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14026555101.6547","15961484406.8366","16837869277.7577","18603819445.8905","18829896885.7397","20680025701.3439","22055666260.1411","22362174721.3804","23967631455.092","24977861386.5957","27342800546.2182","28311173320.3917","29139570326.098","31890160187.3404","35064402056.6091","39326109703.2979","43358705366.7722","48563648160.6773","51415595343.8417","49338281446.9326","52795289210.5484","52634257185.55","63267808337.2741","64684120800.2522","64854955262.023","58654730203.0341","59678283337.0778","67201442088.5962","70147180715.3774","",
"Bahamas, The","BHS","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3052731134.47356","3014539846.51243","3062717695.53117","3096605243.91445","3259955561.81496","4106546601.6831","4716041345.05948","6578617063.583","6932135739.15743","7630828452.3003","8118033489.22143","8457144798.58331","8851788348.03007","8934629185.45115","9271024897.51946","9855249133.80562","10377945107.1638","10806793090.4877","10938895130.3395","10472642843.6382","10686827363.582","10997921247.7764","11595341109.8301","11659382896.2361","11583720842.4599","12121694715.4584","12442322414.598","13079239093.8042","13253841887.3161","",
